Employee ID,Name,Gender,Department,Job Role,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility
326885,Kiaan Goswami,Female,IT,Cybersecurity Specialist,69,71.13,96.81,4.8,75.48,48,4.8,5,No
803681,Vritika Kala,Male,Sales,Account Manager,51,79.04,76.3,3.5,87.92,53,3.5,8,No
525050,Mahika Saxena,Female,Marketing,Marketing Executive,55,71.99,98.29,4.9,97.9,37,3.6,25,No
603407,Kavya Shah,Male,HR,Employee Relations,56,75.28,76.55,4.3,95.42,41,3.1,30,No
211921,Pari Zacharia,Female,HR,Employee Relations,62,75.99,83.45,5,94.67,39,4.9,14,No
582539,Ira Iyengar,Male,HR,HR Manager,69,89.6,77.11,4.9,89.4,45,4.9,16,No
713340,Tanya Taneja,Female,Finance,Financial Analyst,100,86.58,75.08,3.6,70.37,50,4,3,No
162959,Tiya Mannan,Female,Sales,Account Manager,99,70.02,79.34,3.4,96.43,38,3.4,14,No
692057,Vritika Verma,Male,Marketing,Content Strategist,52,66.63,91.34,3.2,99.5,43,4.8,8,No
886392,Heer Kale,Male,Finance,Accountant,87,81.62,75.18,3.9,87.27,46,4.2,4,Yes
311713,Shanaya Krishnan,Male,Finance,Financial Analyst,69,60.63,90.4,4.3,89.77,51,3.9,17,No
420151,Anya Wadhwa,Male,Finance,Auditor,60,87.52,97.52,3.9,70.66,51,4.6,8,No
690698,Devansh Tandon,Male,Marketing,Marketing Executive,66,73.3,82.1,3.8,81.2,38,4.4,2,No
978856,Vritika Walla,Male,Sales,Account Manager,65,93.11,84.62,4.3,91.25,39,3.7,13,No
171922,Mohanlal Kari,Male,Marketing,SEO Specialist,77,73.74,88.29,3.3,99.22,42,4.1,13,No
978968,Kiaan Bora,Male,Marketing,Content Strategist,86,79.1,98.03,4,99.26,52,4.1,22,Yes
560366,Siya Ramakrishnan,Female,HR,Recruitment Specialist,83,91.48,96.91,4.8,97.58,49,3.4,14,No
168956,Kaira Golla,Female,Finance,Accountant,92,72.69,99.03,4.1,98.73,54,4.5,10,Yes
654455,Aarna Saxena,Male,IT,Software Engineer,71,62.39,75.49,4.6,80.84,38,3.1,5,No
727177,Siya Brar,Female,Finance,Auditor,53,61.01,93.18,4.7,84.28,50,3.2,12,No
553994,Jayan Bora,Female,Sales,Account Manager,75,69.36,87.12,4.8,82.27,44,4.4,0,No
474749,Seher Hora,Female,IT,Data Analyst,73,88.58,78.42,3.8,72.05,52,4.8,16,No
404381,Anahi Bakshi,Female,Marketing,Content Strategist,83,86.51,78.79,4.9,99.48,43,4.2,19,No
149475,Nitara Dhaliwal,Male,Finance,Financial Analyst,67,62.85,76.6,3.8,71.82,52,3.2,24,No
165487,Lakshit Kibe,Female,HR,Recruitment Specialist,85,73.57,85.75,3.8,71.09,51,3.9,2,No
618249,Pihu Sane,Male,Marketing,SEO Specialist,64,79.48,98.75,4.6,89.46,44,4,21,No
132554,Aaryahi Krishna,Female,Finance,Accountant,92,89.37,95.72,4.8,70.93,45,3.9,3,No
995697,Divit Kata,Female,Sales,Business Development,52,60.46,92.52,4.6,87.16,49,3.5,18,No
709737,Saanvi Chatterjee,Female,Sales,Business Development,58,66.35,77.4,3.9,71.62,42,4,15,No
292420,Baiju Chaudhuri,Male,Marketing,Content Strategist,61,84.44,84.67,4.6,79.94,44,3.4,20,No
549479,Lakshay Seshadri,Female,HR,Employee Relations,69,73.67,89.24,4.3,72.27,41,3.3,16,No
925538,Hridaan Gour,Male,Finance,Accountant,73,73.41,95.83,4,97.73,37,3.7,18,No
948763,Darshit Baral,Female,HR,HR Manager,91,93.43,88.25,4.4,97.58,50,3.6,19,No
314725,Miraya Mani,Male,IT,Software Engineer,89,92.41,96.04,3.5,93.89,44,3.7,7,No
429616,Vivaan Shan,Female,Marketing,Marketing Executive,100,76.05,83.95,4.1,73.2,50,4.1,23,Yes
774009,Mamooty Bakshi,Male,Finance,Accountant,59,61.11,78.26,3,96.55,35,3.1,12,No
317578,Jivika Bhalla,Male,HR,Recruitment Specialist,60,92.2,96.47,4,99.65,45,4.3,29,No
306725,Divyansh Goyal,Female,Sales,Account Manager,68,91.06,84.69,3.5,76.79,46,3.2,13,No
485549,Bhavin Setty,Male,HR,Recruitment Specialist,65,67.41,94.3,4.4,79.77,47,3,30,No
331817,Yuvaan Mani,Female,Sales,Business Development,68,79.92,99.5,4.6,82.04,54,3.4,11,No
114099,Advik Sinha,Female,Marketing,Marketing Executive,85,93.7,77.04,3.1,70.18,48,4.6,26,No
139080,Devansh Kothari,Female,HR,Employee Relations,100,92.56,93.63,4,94.87,50,3.8,2,No
305887,Inaaya  Sha,Female,Finance,Accountant,81,80.86,75.29,3.3,79.25,40,4.2,29,No
639096,Aniruddh Mangal,Female,Sales,Account Manager,97,83.83,82.95,5,82.2,53,4.7,29,Yes
262442,Divyansh Chandran,Female,HR,Recruitment Specialist,93,89.27,77.43,3.9,80.2,41,3.4,30,No
710432,Trisha Dara,Female,HR,Employee Relations,65,61.39,88.39,4.8,99.38,35,5,2,No
438030,Mishti Ravi,Female,Finance,Accountant,87,84.58,97.31,4.6,74.96,52,4.4,6,Yes
967292,Neysa Chawla,Female,Marketing,Content Strategist,67,89.39,87.22,4.2,97.04,41,3,30,No
840198,Nirvaan Bali,Female,IT,Cybersecurity Specialist,71,74.32,89.62,4.1,87.45,53,3.7,22,No
158146,Divit Bhalla,Female,IT,Software Engineer,73,94.09,84.21,3.6,74.29,52,4,5,No
741554,Purab Srinivas,Male,Marketing,Content Strategist,70,83.44,92.82,4.5,80.9,39,3.2,9,No
594881,Vihaan Goda,Male,IT,Software Engineer,95,66.14,93.46,3.3,92.86,35,4,20,No
794196,Indrans Bal,Female,HR,Recruitment Specialist,69,88.67,96.95,3.4,78.69,39,3.5,10,No
731647,Raunak Kothari,Female,Finance,Auditor,51,67.04,88.21,3.3,70.57,40,3.4,9,No
818673,Yasmin Rastogi,Female,Marketing,SEO Specialist,74,74.62,87.29,4.7,78.31,53,4.4,9,No
336865,Manikya Choudhary,Female,Sales,Account Manager,89,66.98,79.44,4.1,93.99,49,4.9,25,Yes
129211,Raunak Sodhi,Female,Finance,Accountant,55,63.76,78.07,4.4,96.11,43,3.3,29,No
395943,Ivan Mallick,Female,Marketing,SEO Specialist,100,77.85,98.96,4.9,99.4,54,4.4,28,Yes
675021,Damini Bala,Female,Marketing,Marketing Executive,53,91.27,92.06,4.3,73.77,49,4.7,27,No
887129,Samar Sanghvi,Female,IT,Software Engineer,85,89.12,99.83,4.3,89.43,39,3.6,27,No
830319,Keya Brar,Male,Marketing,Marketing Executive,95,81.37,88.09,4.2,81.42,50,3.4,20,No
918541,Divit Ravel,Female,Finance,Accountant,80,93.92,96.33,4,79.26,35,5,24,No
337244,Ela Gole,Male,Sales,Sales Executive,89,68.59,93.37,3.6,88.01,42,4,29,No
346485,Dhruv Bali,Female,IT,Data Analyst,78,64.88,75.76,4,82.66,36,4.1,25,No
568048,Jivin Lanka,Female,HR,Employee Relations,87,72.71,91.81,3.2,70.53,37,4.3,18,Yes
689881,Lavanya Sengupta,Male,Sales,Business Development,69,68.51,99.85,4,82.67,49,4.8,23,No
920549,Vidur Vala,Female,Marketing,Marketing Executive,63,72.34,91.38,3.3,92.85,40,4.5,10,No
684377,Anahita Wadhwa,Male,HR,Employee Relations,68,88.79,98.65,4.8,82.72,36,4.9,30,No
809194,Advika Grewal,Female,Finance,Financial Analyst,60,74.86,80.45,3.9,81.33,46,3.7,29,No
373287,Ojas Halder,Female,Finance,Accountant,61,66.01,93.02,4.3,93.13,48,3.8,10,No
348494,Suhana Deep,Male,Marketing,Content Strategist,82,91.11,87.16,4.9,97.63,39,4.3,3,No
991106,Hazel Subramanian,Female,HR,Employee Relations,77,83.47,77.45,3.5,95.55,51,4.4,15,No
434736,Mishti Gaba,Male,Marketing,SEO Specialist,59,62.49,78.74,3.5,89.19,35,4.9,4,No
300291,Dhanush Shukla,Female,Finance,Auditor,87,82.84,83.2,4.3,75.63,49,4.4,10,Yes
930682,Veer Bhasin,Male,Sales,Business Development,88,63.61,84.95,4.9,89.8,41,4.5,28,Yes
872547,Lakshit Rout,Male,Finance,Financial Analyst,63,89.11,82.6,4.9,96.99,45,4.6,5,No
137227,Kashvi Chana,Female,Sales,Sales Executive,80,73.94,83.52,4.2,85.29,43,3.7,4,No
492346,Samarth Varughese,Female,HR,Recruitment Specialist,91,84.47,89.53,4.5,86.93,44,4.7,11,Yes
104894,Arhaan Raman,Male,Marketing,Marketing Executive,82,85.32,84.22,4.3,98.69,55,3.6,23,No
574980,Eshani Soman,Female,IT,Data Analyst,76,72.37,80.74,3.7,96.2,53,4.2,0,No
938510,Nakul Madan,Female,HR,HR Manager,83,61.97,93.79,4.2,86.91,53,3,26,No
914691,Aradhya Handa,Female,Sales,Business Development,94,70.22,81.05,4.1,98.95,41,3.3,16,No
959287,Mishti Sarin,Male,HR,Employee Relations,55,61.91,96.05,3.5,95.43,52,4.1,6,No
657468,Zoya Som,Male,HR,Employee Relations,70,64.93,99.55,4.9,74.63,37,3.8,4,No
251209,Mannat Bakshi,Male,Finance,Financial Analyst,57,64.03,83.62,3.6,73.33,52,3.7,29,No
627672,Keya Butala,Male,Finance,Accountant,68,69.35,81.57,4.6,93.75,45,4.9,14,No
283291,Alia Sawhney,Male,IT,Data Analyst,64,66.32,93.61,4.5,70.27,52,4.4,2,No
366737,Vritika Khalsa,Male,Marketing,Content Strategist,96,71.52,80.62,4.1,83.72,37,3.2,30,No
722297,Neelofar Keer,Male,Sales,Account Manager,87,93.59,76.5,4,86.67,50,4,29,No
814101,Divyansh Kaur,Male,Marketing,SEO Specialist,85,70.61,78.81,4.7,92.78,51,3.6,10,No
381345,Abram Mane,Male,Finance,Accountant,73,92.29,93.66,3.9,81.26,38,3.8,27,No
295113,Gatik Guha,Female,Marketing,Content Strategist,86,62.94,86,4.1,93.43,52,4.9,8,Yes
414900,Dharmajan Kalita,Male,HR,Recruitment Specialist,96,69.58,92.53,4.9,93.79,41,4.6,2,Yes
933548,Riya Dani,Female,Marketing,Marketing Executive,74,94.91,91.43,4.7,73.81,54,4,9,No
218595,Nitara Sarma,Female,Marketing,Marketing Executive,84,91.62,85.68,4.4,78.13,48,4,29,No
384248,Kimaya Ghosh,Female,IT,Software Engineer,89,61.94,82.49,3.2,95.06,44,3.5,16,No
501422,Purab Bhargava,Male,Finance,Auditor,86,78.38,92.79,4.1,76.69,46,4.4,16,Yes
403338,Manikya Wable,Male,Sales,Account Manager,55,74.28,95.73,4.4,76.67,49,3.9,3,No
850100,Adah Solanki,Male,Finance,Accountant,73,92.89,91.11,4.2,96.42,38,4.8,29,No
522109,Purab Chhabra,Male,Sales,Business Development,66,87.5,83.23,3.3,99.73,36,4,10,No
709198,Samar Raju,Female,Finance,Accountant,99,62.15,97.44,3.1,73.27,46,4.2,4,Yes
829551,Ojas Kannan,Male,Sales,Sales Executive,79,90.67,99.21,5,96.12,49,4.8,0,No
480394,Sara Vala,Male,HR,Employee Relations,80,75.41,84.97,4.7,71.11,41,3.9,18,No
941122,Hrishita Bala,Male,Finance,Financial Analyst,71,68.2,95.9,4.5,72.63,49,3.1,26,No
296812,Inaaya  Kurian,Male,Sales,Business Development,57,73.85,95.95,4.1,73.03,55,4.1,7,No
706124,Akarsh De,Male,Finance,Accountant,77,85.94,96.56,4.6,77.14,50,4.1,10,No
297819,Jivika Sant,Female,Finance,Accountant,75,93.96,95.16,3.2,72.88,45,3.5,14,No
165053,Ivana Viswanathan,Male,HR,HR Manager,95,87.78,98.1,4.2,91.24,45,3.9,6,No
398012,Adah Sarraf,Female,Marketing,Content Strategist,98,77.83,90.06,3.8,70.22,41,4.9,18,Yes
555457,Veer Kumar,Male,IT,Cybersecurity Specialist,59,70.8,92.99,4.9,95.76,37,4.4,28,No
177315,Aayush Kibe,Female,HR,HR Manager,91,88.79,99.39,4,88.02,47,5,1,Yes
401685,Miraya Dayal,Male,Sales,Account Manager,60,71.84,99.47,3.7,76.83,50,4.4,1,No
363762,Stuvan Verma,Male,HR,HR Manager,91,62.38,92.08,3.1,93.77,42,4.7,23,Yes
488108,Vihaan Varghese,Female,HR,Employee Relations,86,75.24,89.7,3.9,94.16,37,4.5,8,Yes
399562,Lagan Bajwa,Female,Sales,Sales Executive,72,74.95,86.63,3,88.1,50,3.3,22,No
808996,Aradhya Chaudhuri,Female,HR,Employee Relations,77,73.91,90.22,3.6,77.5,37,4.4,12,No
402302,Divit Rajagopal,Male,Marketing,SEO Specialist,66,84.67,79.1,3.8,71.76,43,3.8,6,No
879751,Alia Balasubramanian,Female,Sales,Business Development,67,84.77,98.68,3.3,93.06,37,4.4,24,No
308048,Dhruv Babu,Male,HR,Recruitment Specialist,91,90.55,79.89,4.4,84.26,40,4.5,24,Yes
786418,Aayush Dar,Male,IT,Cybersecurity Specialist,70,70.15,81.4,4.3,71.92,48,3.1,15,No
882537,Nayantara Edwin,Female,Finance,Financial Analyst,74,84.51,82.61,3.7,99.65,38,4,18,No
235703,Rasha Kothari,Female,IT,Software Engineer,77,92.74,82.77,5,94.58,55,3.7,28,No
859541,Mohanlal Kunda,Male,Sales,Account Manager,67,71.01,80.16,3,79.62,51,3.1,8,No
197224,Misha Bhargava,Male,HR,HR Manager,70,61.26,99.12,3.7,94.03,51,3.9,0,No
511364,Ishita Varma,Female,Sales,Business Development,55,65.55,85.32,4.4,83.68,53,4.2,6,No
118799,Amani Gill,Female,Finance,Accountant,98,86.44,97.96,4.4,70.79,36,3.4,28,No
674778,Nayantara Bir,Female,Sales,Account Manager,55,92.89,83,4.2,77.92,54,3.3,23,No
418635,Rhea Gole,Male,IT,Software Engineer,70,61.26,85.76,3.9,80.92,41,4.2,4,No
936670,Krish Bali,Male,IT,Data Analyst,52,86.9,88.68,4.1,88.65,48,3.5,10,No
726742,Nitya Mangal,Male,IT,Software Engineer,92,72.41,77.62,3.3,92.52,41,3.8,10,No
936736,Hrishita Tank,Male,Finance,Accountant,62,65.11,88.21,4.3,75.91,52,4.6,0,No
581644,Ivana Chandra,Male,Sales,Sales Executive,56,76.23,98.59,4.9,76.37,51,5,28,No
510131,Ishaan Biswas,Male,Marketing,Marketing Executive,52,66.53,90.69,4.2,90.86,48,4.8,15,No
294626,Miraan Bali,Female,Finance,Accountant,93,78.19,90.77,3.7,76.85,48,4.7,15,Yes
573387,Taran Jha,Male,IT,Cybersecurity Specialist,88,61.65,79.11,4.8,70.84,48,4.4,10,Yes
784768,Anika Salvi,Male,Marketing,Marketing Executive,74,84.7,83.71,3.9,90.73,35,4.4,18,No
134108,Kaira Sanghvi,Male,Finance,Auditor,96,78.7,79.53,4.9,81.63,39,4.4,10,Yes
174649,Chirag Vasa,Female,Sales,Sales Executive,83,74.01,81.97,3.4,86.9,38,3.5,8,No
689338,Pihu Chaudhuri,Male,IT,Software Engineer,65,81.27,92.81,4.4,82.43,46,4.7,17,No
523061,Anika Sarna,Male,Sales,Sales Executive,86,91.18,76.6,4.2,79.81,38,5,1,Yes
901936,Anaya Sodhi,Female,Marketing,Content Strategist,68,92.45,91.79,3.9,78.59,48,3.4,13,No
300537,Gatik Chakrabarti,Male,Finance,Financial Analyst,74,82.98,99.96,3.8,97.7,54,3.3,4,No
569817,Saira Dara,Male,HR,HR Manager,68,87.95,78.03,4.5,73.83,40,4.6,29,No
489553,Amira Kumer,Male,IT,Data Analyst,83,62.79,96.12,4,76.85,40,4.6,12,No
995986,Shalv Buch,Male,Finance,Financial Analyst,78,60.26,85.88,3.6,94.01,36,4.9,0,No
370437,Amira Barad,Male,HR,Recruitment Specialist,69,74.55,84.15,4,73.53,50,3.4,22,No
641341,Vaibhav Ram,Female,HR,Employee Relations,61,70.9,93.47,3.4,95.23,46,4.9,27,No
686344,Dhanush Dutta,Female,IT,Cybersecurity Specialist,100,93.21,97.8,3.9,81.52,46,4.4,16,Yes
476946,Aayush Johal,Female,HR,HR Manager,74,66.95,98.45,3.5,73.94,44,4.8,21,No
642417,Farhan Agarwal,Male,Sales,Sales Executive,55,70.8,77.84,4.8,87.54,48,4.5,28,No
455338,Ira Mani,Male,Finance,Accountant,58,65.24,81.69,3.8,79.55,46,4.5,21,No
492243,Bhavin Gandhi,Male,Sales,Sales Executive,59,93,86.3,3.8,80.47,55,3.7,4,No
135842,Anahi Sehgal,Female,Finance,Accountant,50,78.98,88.34,4.9,96.02,49,3.3,15,No
356703,Anvi Johal,Male,IT,Software Engineer,88,62.02,82.73,4.5,83.98,39,4.6,2,Yes
118920,Vedika Dara,Male,HR,Recruitment Specialist,77,85.98,77.34,5,91.68,46,4,0,No
105561,Tara Bal,Female,Finance,Auditor,76,75.39,94.04,4.2,75.46,51,3.1,19,No
425760,Navya Solanki,Male,HR,Recruitment Specialist,68,80.11,86.73,3.9,90.48,41,4.8,5,No
397069,Hansh Lanka,Female,Finance,Auditor,100,80.29,94.48,3.9,93.66,55,4.3,22,Yes
150406,Ojas Issac,Female,Sales,Account Manager,53,82.4,89.21,3.3,93.84,54,4.2,7,No
774763,Jhanvi Mahal,Female,Sales,Sales Executive,87,75.97,83.78,3.1,87.26,46,3.7,9,No
714313,Neelofar Cheema,Male,Finance,Accountant,84,61.43,96.86,3.1,75.16,37,4.4,5,No
991564,Umang Bath,Male,Finance,Auditor,81,91.37,89.07,4,89.4,48,3.9,20,No
274295,Chirag Jhaveri,Male,IT,Cybersecurity Specialist,76,76.35,85.76,4.8,85.23,43,4.5,1,No
439231,Rasha Buch,Male,HR,Employee Relations,77,73.63,86.19,3.9,78.49,37,3.6,16,No
869777,Nishith Dara,Male,IT,Cybersecurity Specialist,52,84.92,81.84,4.3,84,46,4.3,7,No
645354,Bhavin Singhal,Male,Marketing,Marketing Executive,70,75.89,84.86,3.9,97.51,51,3.4,11,No
441767,Pihu Soman,Male,HR,HR Manager,84,87.54,80.8,4.5,89.24,47,3.7,6,No
139995,Elakshi Sant,Female,IT,Data Analyst,78,68.09,76.99,3.2,77.48,43,4.4,8,No
154629,Ahana  Kanda,Male,Sales,Business Development,50,76.79,95.84,4.8,89.64,53,3.5,9,No
518607,Jayesh Bala,Female,HR,Employee Relations,72,70.47,84.32,4.7,98.73,51,3.7,28,No
228875,Ela Ghose,Male,Sales,Sales Executive,50,79.26,92.74,4.2,99.48,37,4.9,3,No
440728,Hansh Badal,Male,Finance,Accountant,91,74.97,82.44,4.9,82.18,44,3.1,3,No
814503,Mehul Maharaj,Male,Marketing,Content Strategist,100,74.32,95,4.2,76.51,55,4,1,No
207810,Ayesha Dugal,Female,Marketing,Content Strategist,74,70.93,81.05,3.5,92.34,50,3.7,1,No
671113,Vaibhav Banik,Female,IT,Data Analyst,57,86.05,87.22,3.3,73.3,53,3.9,27,No
322000,Mamooty Kalita,Female,Sales,Business Development,82,65.11,93.76,4.1,94.66,55,4.9,14,No
939507,Ahana  Kapadia,Female,IT,Cybersecurity Specialist,75,87.45,87,3.9,98.72,38,4,30,No
851852,Charvi Goyal,Male,HR,Recruitment Specialist,55,91.12,99.86,3.9,86.13,38,3.4,25,No
708380,Aarush Rau,Female,HR,HR Manager,58,74.11,92.12,4.7,85.23,49,3.5,11,No
911947,Aaina Bath,Male,Finance,Accountant,90,75.12,92.11,4.1,72.44,39,4.9,24,Yes
706670,Fateh Master,Male,Sales,Account Manager,60,61.9,89.02,4.9,94.18,46,4.7,23,No
902256,Vivaan Savant,Female,IT,Software Engineer,100,76.01,77.34,4.9,82.52,46,4.5,14,Yes
794499,Gatik Ramesh,Female,Finance,Financial Analyst,64,86.28,96.12,4,80.18,35,4.1,23,No
106054,Divyansh Taneja,Female,Sales,Business Development,71,65.37,80.68,3.9,98.37,46,4.2,2,No
451785,Fateh Chauhan,Female,Finance,Auditor,95,81,87.11,4.4,70.09,43,3.7,16,No
266584,Nirvaan Shan,Female,HR,Employee Relations,70,62.89,79.18,3.3,94.31,55,4.1,3,No
625909,Miraya Sastry,Female,Finance,Financial Analyst,74,84.19,83.06,3.8,85.99,38,3.9,22,No
257068,Adah Kumer,Female,Marketing,Content Strategist,61,85.39,81.39,4.3,91.99,42,3.7,12,No
614013,Darshit Kanda,Female,Finance,Accountant,78,79.94,77.57,4,91.28,53,3.2,12,No
961711,Priyansh Sabharwal,Male,Sales,Business Development,78,67.37,77.56,3.3,96.98,47,3.4,8,No
149976,Jayant Krish,Female,Marketing,SEO Specialist,94,89.9,94.62,4.6,79.69,46,4.6,25,Yes
793928,Indrans Luthra,Female,Marketing,Marketing Executive,74,80.06,82.16,4.7,90.64,50,4.1,2,No
149508,Badal D’Alia,Male,Marketing,SEO Specialist,61,94.29,96.61,4.3,84.12,37,3.8,4,No
228972,Alisha Maharaj,Female,Sales,Account Manager,81,79.43,97.97,4.3,78.47,43,4,13,No
363615,Riaan Dutta,Male,Finance,Auditor,52,65.82,88.38,3.3,71.97,41,3.4,7,No
950003,Mehul Chaudry,Male,HR,Employee Relations,62,63.61,99.6,3.6,74.46,49,4,3,No
308395,Lakshay Chada,Female,HR,Recruitment Specialist,76,82.21,75.3,4.6,77.43,38,3.7,1,No
538353,Kashvi Bumb,Male,IT,Software Engineer,57,60.09,98.14,5,95.6,50,3.2,21,No
106528,Suhana Gour,Male,IT,Cybersecurity Specialist,66,89.78,98.55,4.6,96.44,44,4.5,26,No
642778,Jivika Karan,Male,IT,Software Engineer,69,89.93,82.56,4.9,97.05,54,4.1,0,No
794296,Pari Gola,Male,Finance,Financial Analyst,61,66.56,85.89,4.3,99.75,53,3.3,18,No
158214,Zain Banerjee,Female,Marketing,Marketing Executive,87,65.39,95.04,4.6,93.22,51,4.5,16,Yes
945273,Vardaniya Dey,Male,Sales,Sales Executive,59,70.92,82.95,4.6,88.65,42,4.5,5,No
216921,Kismat Kant,Female,HR,Employee Relations,81,81.49,88.19,3.8,77.48,48,3.4,9,No
812942,Kashvi Ahuja,Male,Finance,Accountant,77,72.56,86.28,5,73.47,35,3.3,5,No
383779,Hrishita Guha,Male,Finance,Financial Analyst,77,85.41,96.32,3.4,79.38,40,3.4,0,No
947172,Ritvik Kar,Male,IT,Software Engineer,68,90.72,78.87,4.3,74.82,48,3.5,14,No
360465,Kartik Randhawa,Male,HR,Recruitment Specialist,80,90.9,79.01,4.2,92.52,37,4,4,No
